,ungated,vix,own,both
start,2011-01-03,2011-01-03,2011-01-03,2011-01-03
end,2026-08-05,2026-08-05,2026-08-05,2026-08-05
n_days,3920,3920,3920,3920
cagr,1.5732999389530096,1.374906052167601,1.132757890977063,0.9740926475132572
total_return,2501170.492069415,716216.4551676575,133989.92688844653,40156.899590993
vol_ann,0.23089789047902134,0.17067061491998145,0.10398843640379142,0.09704133876305643
sharpe,4.231336523346775,5.175499874941977,7.361374073489199,7.080582832144498
sortino,2.743613089160755,2.9294044511233874,5.991840308016224,4.9912863563491845
calmar,3.6709336345046375,4.158629242146468,6.436737187704842,6.1744941174391
max_dd,-0.4285830515062726,-0.3306152032581645,-0.17598324398591336,-0.1577607216050384
underwater_days,471.0,379.0,177.0,179.0
underwater_share,0.6354591836734694,0.5359693877551021,0.5076530612244898,0.45790816326530615
worst_month,-0.24953410640252105,-0.23532392197334118,-0.06747686707097933,-0.06373014844990466
best_month,0.4976461904646039,0.47557890218877974,0.35357956268809887,0.35357956268809887
months_in_profit,0.8563829787234043,0.8882978723404256,0.9042553191489362,0.9095744680851063
losing_streak_mo,3,3,3,3
worst_year,-0.026029327626325705,-0.04015005009015682,0.17070237937159982,0.16028210530308074
years_positive,0.9375,0.9375,1.0,1.0
pos_days,0.7903061224489796,0.5969387755102041,0.773469387755102,0.6045918367346939
worst_day,-0.25141491597420773,-0.23425142075050767,-0.0913494259868222,-0.0913494259868222
best_day,0.04045154937533357,0.038557578222731384,0.037632733097754625,0.037632733097754625
skew,-5.408933872213021,-5.185387185599737,-1.5027165797206812,-1.2849861239483165
excess_kurt,62.456697409833104,81.76367709265242,20.56134143326926,24.409822059916138
var95_daily,-0.01350175389673221,-0.006937347049284823,-0.004035566817330895,-0.0023417293028592714
cvar95_daily,-0.03896334507312169,-0.024344228615831368,-0.012445257922997126,-0.010006382760009402
cvar99_daily,-0.08992998364281354,-0.06095535952051134,-0.02951500553940108,-0.026595011132260343
psr_gt0,1.0,1.0,1.0,1.0
duty_cycle,1.0,0.7272,0.5482,0.4636
switches_per_yr,0.0,35.9,23.9,32.1
